,season,episode,title,url
0,1,0,Welcome to Republic City,https://avatar.fandom.com//wiki/Transcript:Welcome_to_Republic_City
1,1,1,A Leaf in the Wind,https://avatar.fandom.com//wiki/Transcript:A_Leaf_in_the_Wind
2,1,2,The Revelation,
3,1,3,The Voice in the Night,https://avatar.fandom.com//wiki/Transcript:The_Voice_in_the_Night
4,1,4,The Spirit of Competition,https://avatar.fandom.com//wiki/Transcript:The_Spirit_of_Competition
5,1,5,And the Winner Is...,https://avatar.fandom.com//wiki/Transcript:And_the_Winner_Is...
6,1,6,The Aftermath,https://avatar.fandom.com//wiki/Transcript:The_Aftermath
7,1,7,When Extremes Meet,https://avatar.fandom.com//wiki/Transcript:When_Extremes_Meet
8,1,8,Out of the Past,https://avatar.fandom.com//wiki/Transcript:Out_of_the_Past
9,1,9,Turning the Tides,https://avatar.fandom.com//wiki/Transcript:Turning_the_Tides
10,1,10,Skeletons in the Closet,https://avatar.fandom.com//wiki/Transcript:Skeletons_in_the_Closet
11,1,11,Endgame,https://avatar.fandom.com//wiki/Transcript:Endgame
12,2,0,Rebel Spirit,https://avatar.fandom.com//wiki/Transcript:Rebel_Spirit
13,2,1,The Southern Lights,https://avatar.fandom.com//wiki/Transcript:The_Southern_Lights
14,2,2,"Civil Wars, Part 1","https://avatar.fandom.com//wiki/Transcript:Civil_Wars,_Part_1"
15,2,3,"Civil Wars, Part 2","https://avatar.fandom.com//wiki/Transcript:Civil_Wars,_Part_2"
16,2,4,Peacekeepers,https://avatar.fandom.com//wiki/Transcript:Peacekeepers
17,2,5,The Sting,https://avatar.fandom.com//wiki/Transcript:The_Sting
18,2,6,"Beginnings, Part 1","https://avatar.fandom.com//wiki/Transcript:Beginnings,_Part_1"
19,2,7,"Beginnings, Part 2","https://avatar.fandom.com//wiki/Transcript:Beginnings,_Part_2"
20,2,8,The Guide,https://avatar.fandom.com//wiki/Transcript:The_Guide
21,2,9,A New Spiritual Age,https://avatar.fandom.com//wiki/Transcript:A_New_Spiritual_Age
22,2,10,Night of a Thousand Stars,https://avatar.fandom.com//wiki/Transcript:Night_of_a_Thousand_Stars
23,2,11,Harmonic Convergence (episode),https://avatar.fandom.com//wiki/Transcript:Harmonic_Convergence_(episode)
24,2,12,Darkness Falls,https://avatar.fandom.com//wiki/Transcript:Darkness_Falls
25,2,13,Light in the Dark,https://avatar.fandom.com//wiki/Transcript:Light_in_the_Dark
26,3,0,A Breath of Fresh Air,https://avatar.fandom.com//wiki/Transcript:A_Breath_of_Fresh_Air
27,3,1,Rebirth,https://avatar.fandom.com//wiki/Transcript:Rebirth
28,3,2,The Earth Queen,https://avatar.fandom.com//wiki/Transcript:The_Earth_Queen
29,3,3,In Harm's Way,https://avatar.fandom.com//wiki/Transcript:In_Harm%27s_Way
30,3,4,The Metal Clan,https://avatar.fandom.com//wiki/Transcript:The_Metal_Clan
31,3,5,Old Wounds,https://avatar.fandom.com//wiki/Transcript:Old_Wounds
32,3,6,Original Airbenders,https://avatar.fandom.com//wiki/Transcript:Original_Airbenders
33,3,7,The Terror Within,https://avatar.fandom.com//wiki/Transcript:The_Terror_Within
34,3,8,The Stakeout,https://avatar.fandom.com//wiki/Transcript:The_Stakeout
35,3,9,Long Live the Queen,https://avatar.fandom.com//wiki/Transcript:Long_Live_the_Queen
36,3,10,The Ultimatum,https://avatar.fandom.com//wiki/Transcript:The_Ultimatum
37,3,11,Enter the Void,https://avatar.fandom.com//wiki/Transcript:Enter_the_Void
38,3,12,Venom of the Red Lotus,https://avatar.fandom.com//wiki/Transcript:Venom_of_the_Red_Lotus
39,4,0,After All These Years,https://avatar.fandom.com//wiki/Transcript:After_All_These_Years
40,4,1,Korra Alone,https://avatar.fandom.com//wiki/Transcript:Korra_Alone
41,4,2,The Coronation,https://avatar.fandom.com//wiki/Transcript:The_Coronation
42,4,3,The Calling,https://avatar.fandom.com//wiki/Transcript:The_Calling
43,4,4,Enemy at the Gates,https://avatar.fandom.com//wiki/Transcript:Enemy_at_the_Gates
44,4,5,The Battle of Zaofu,https://avatar.fandom.com//wiki/Transcript:The_Battle_of_Zaofu
45,4,6,Reunion,https://avatar.fandom.com//wiki/Transcript:Reunion
46,4,7,Remembrances,https://avatar.fandom.com//wiki/Transcript:Remembrances
47,4,8,Beyond the Wilds,https://avatar.fandom.com//wiki/Transcript:Beyond_the_Wilds
48,4,9,Operation Beifong,https://avatar.fandom.com//wiki/Transcript:Operation_Beifong
49,4,10,Kuvira's Gambit,https://avatar.fandom.com//wiki/Transcript:Kuvira%27s_Gambit
50,4,11,Day of the Colossus,https://avatar.fandom.com//wiki/Transcript:Day_of_the_Colossus
51,4,12,The Last Stand,https://avatar.fandom.com//wiki/Transcript:The_Last_Stand
