name,url,imageUrl
Korra,https://avatar.fandom.com//wiki/Korra,https://static.wikia.nocookie.net/avatar/images/3/31/Korra_smiling.png/revision/latest?cb=20200907192928
Mako,https://avatar.fandom.com//wiki/Mako,https://static.wikia.nocookie.net/avatar/images/a/a6/Mako.png/revision/latest?cb=20150408124557
Bolin,https://avatar.fandom.com//wiki/Bolin,https://static.wikia.nocookie.net/avatar/images/d/d4/Bolin.png/revision/latest?cb=20150406232314
Asami Sato,https://avatar.fandom.com//wiki/Asami_Sato,https://static.wikia.nocookie.net/avatar/images/b/b6/Asami_Sato.png/revision/latest?cb=20150407110150
Tenzin,https://avatar.fandom.com//wiki/Tenzin,https://static.wikia.nocookie.net/avatar/images/d/d6/Tenzin.png/revision/latest?cb=20131117230615
Lin Beifong,https://avatar.fandom.com//wiki/Lin_Beifong,https://static.wikia.nocookie.net/avatar/images/8/83/Lin_Beifong.png/revision/latest?cb=20120608221629
Amon,https://avatar.fandom.com//wiki/Amon,https://static.wikia.nocookie.net/avatar/images/0/00/Amon_and_his_Equalists.png/revision/latest/scale-to-width-down/350?cb=20160219113422
Lieutenant,https://avatar.fandom.com//wiki/Lieutenant,https://static.wikia.nocookie.net/avatar/images/5/51/Lieutenant.png/revision/latest/scale-to-width-down/350?cb=20121110203356
Hiroshi Sato,https://avatar.fandom.com//wiki/Hiroshi_Sato,https://static.wikia.nocookie.net/avatar/images/a/a6/Old_Hiroshi_Sato.png/revision/latest/scale-to-width-down/350?cb=20210324002408
Tarrlok,https://avatar.fandom.com//wiki/Tarrlok,https://static.wikia.nocookie.net/avatar/images/d/d1/Tarrlok.png/revision/latest/scale-to-width-down/350?cb=20140119093431
Tonraq,https://avatar.fandom.com//wiki/Tonraq,https://static.wikia.nocookie.net/avatar/images/2/2a/Tonraq.png/revision/latest/scale-to-width-down/350?cb=20140730104245
Unalaq,https://avatar.fandom.com//wiki/Unalaq,https://static.wikia.nocookie.net/avatar/images/7/7c/Unalaq.png/revision/latest?cb=20141019103903
Desna and Eska,https://avatar.fandom.com//wiki/Desna_and_Eska,https://static.wikia.nocookie.net/avatar/images/1/1b/Chiefs_Desna_and_Eska.png/revision/latest/scale-to-width-down/350?cb=20140730174236
Bumi,https://avatar.fandom.com//wiki/Bumi,https://static.wikia.nocookie.net/avatar/images/0/06/Bumi.png/revision/latest?cb=20140318090248
Kya,https://avatar.fandom.com//wiki/Kya,https://static.wikia.nocookie.net/avatar/images/7/77/Kya_%28waterbender%29.png/revision/latest?cb=20151102093816
Iknik Blackstone Varrick,https://avatar.fandom.com//wiki/Iknik_Blackstone_Varrick,https://static.wikia.nocookie.net/avatar/images/4/48/Varrick_looking_smug.png/revision/latest/scale-to-width-down/350?cb=20131116223858
Zhu Li Moon,https://avatar.fandom.com//wiki/Zhu_Li_Moon,https://static.wikia.nocookie.net/avatar/images/9/9c/Zhu_Li_smiling.png/revision/latest?cb=20200319001215
Raiko,https://avatar.fandom.com//wiki/Raiko,https://static.wikia.nocookie.net/avatar/images/b/b6/Raiko.png/revision/latest/scale-to-width-down/350?cb=20131009231726
Zaheer,https://avatar.fandom.com//wiki/Zaheer,https://static.wikia.nocookie.net/avatar/images/e/e1/Zaheer.png/revision/latest/scale-to-width-down/350?cb=20140825190111
Ghazan,https://avatar.fandom.com//wiki/Ghazan,https://static.wikia.nocookie.net/avatar/images/3/39/Ghazan.png/revision/latest?cb=20140822132315
Ming-Hua,https://avatar.fandom.com//wiki/Ming-Hua,https://static.wikia.nocookie.net/avatar/images/6/6c/Ming-Hua.png/revision/latest?cb=20140822185645
P'Li,https://avatar.fandom.com//wiki/P%27Li,https://static.wikia.nocookie.net/avatar/images/5/52/P%27Li.png/revision/latest?cb=20140825101857
Hou-Ting,https://avatar.fandom.com//wiki/Hou-Ting,https://static.wikia.nocookie.net/avatar/images/6/68/Hou-Ting.png/revision/latest?cb=20150209042730
Kai,https://avatar.fandom.com//wiki/Kai,https://static.wikia.nocookie.net/avatar/images/3/37/Teenage_Kai.png/revision/latest?cb=20141012234101
Zuko,https://avatar.fandom.com//wiki/Zuko,https://static.wikia.nocookie.net/avatar/images/4/4b/Zuko.png/revision/latest?cb=20180630112142
Suyin Beifong,https://avatar.fandom.com//wiki/Suyin_Beifong,https://static.wikia.nocookie.net/avatar/images/2/26/Suyin.png/revision/latest?cb=20140814083841
Opal,https://avatar.fandom.com//wiki/Opal,https://static.wikia.nocookie.net/avatar/images/3/3c/Opal.png/revision/latest?cb=20210503005737
Kuvira,https://avatar.fandom.com//wiki/Kuvira,https://static.wikia.nocookie.net/avatar/images/e/ec/Kuvira.png/revision/latest/scale-to-width-down/350?cb=20150407233430
Baatar Jr.,https://avatar.fandom.com//wiki/Baatar_Jr.,https://static.wikia.nocookie.net/avatar/images/4/45/Baatar_Jr..png/revision/latest?cb=20150409193510
Wu,https://avatar.fandom.com//wiki/Wu,https://static.wikia.nocookie.net/avatar/images/0/0e/King_Wu.png/revision/latest?cb=20141220142035
Toph Beifong,https://avatar.fandom.com//wiki/Toph_Beifong,https://static.wikia.nocookie.net/avatar/images/4/46/Toph_Beifong.png/revision/latest?cb=20131230122047
