season,episode,title,url
1,1,Welcome to Republic City,https://avatar.fandom.com//wiki/Transcript:Welcome_to_Republic_City
1,2,A Leaf in the Wind,https://avatar.fandom.com//wiki/Transcript:A_Leaf_in_the_Wind
1,3,The Revelation,https://avatar.fandom.com/wiki/Transcript:The_Revelation_(episode)
1,4,The Voice in the Night,https://avatar.fandom.com//wiki/Transcript:The_Voice_in_the_Night
1,5,The Spirit of Competition,https://avatar.fandom.com//wiki/Transcript:The_Spirit_of_Competition
1,6,And the Winner Is...,https://avatar.fandom.com//wiki/Transcript:And_the_Winner_Is...
1,7,The Aftermath,https://avatar.fandom.com//wiki/Transcript:The_Aftermath
1,8,When Extremes Meet,https://avatar.fandom.com//wiki/Transcript:When_Extremes_Meet
1,9,Out of the Past,https://avatar.fandom.com//wiki/Transcript:Out_of_the_Past
1,10,Turning the Tides,https://avatar.fandom.com//wiki/Transcript:Turning_the_Tides
1,11,Skeletons in the Closet,https://avatar.fandom.com//wiki/Transcript:Skeletons_in_the_Closet
1,12,Endgame,https://avatar.fandom.com//wiki/Transcript:Endgame
2,1,Rebel Spirit,https://avatar.fandom.com//wiki/Transcript:Rebel_Spirit
2,2,The Southern Lights,https://avatar.fandom.com//wiki/Transcript:The_Southern_Lights
2,3,"Civil Wars, Part 1","https://avatar.fandom.com//wiki/Transcript:Civil_Wars,_Part_1"
2,4,"Civil Wars, Part 2","https://avatar.fandom.com//wiki/Transcript:Civil_Wars,_Part_2"
2,5,Peacekeepers,https://avatar.fandom.com//wiki/Transcript:Peacekeepers
2,6,The Sting,https://avatar.fandom.com//wiki/Transcript:The_Sting
2,7,"Beginnings, Part 1","https://avatar.fandom.com//wiki/Transcript:Beginnings,_Part_1"
2,8,"Beginnings, Part 2","https://avatar.fandom.com//wiki/Transcript:Beginnings,_Part_2"
2,9,The Guide,https://avatar.fandom.com//wiki/Transcript:The_Guide
2,10,A New Spiritual Age,https://avatar.fandom.com//wiki/Transcript:A_New_Spiritual_Age
2,11,Night of a Thousand Stars,https://avatar.fandom.com//wiki/Transcript:Night_of_a_Thousand_Stars
2,12,Harmonic Convergence (episode),https://avatar.fandom.com//wiki/Transcript:Harmonic_Convergence_(episode)
2,13,Darkness Falls,https://avatar.fandom.com//wiki/Transcript:Darkness_Falls
2,14,Light in the Dark,https://avatar.fandom.com//wiki/Transcript:Light_in_the_Dark
3,1,A Breath of Fresh Air,https://avatar.fandom.com//wiki/Transcript:A_Breath_of_Fresh_Air
3,2,Rebirth,https://avatar.fandom.com//wiki/Transcript:Rebirth
3,3,The Earth Queen,https://avatar.fandom.com//wiki/Transcript:The_Earth_Queen
3,4,In Harm's Way,https://avatar.fandom.com//wiki/Transcript:In_Harm%27s_Way
3,5,The Metal Clan,https://avatar.fandom.com//wiki/Transcript:The_Metal_Clan
3,6,Old Wounds,https://avatar.fandom.com//wiki/Transcript:Old_Wounds
3,7,Original Airbenders,https://avatar.fandom.com//wiki/Transcript:Original_Airbenders
3,8,The Terror Within,https://avatar.fandom.com//wiki/Transcript:The_Terror_Within
3,9,The Stakeout,https://avatar.fandom.com//wiki/Transcript:The_Stakeout
3,10,Long Live the Queen,https://avatar.fandom.com//wiki/Transcript:Long_Live_the_Queen
3,11,The Ultimatum,https://avatar.fandom.com//wiki/Transcript:The_Ultimatum
3,12,Enter the Void,https://avatar.fandom.com//wiki/Transcript:Enter_the_Void
3,13,Venom of the Red Lotus,https://avatar.fandom.com//wiki/Transcript:Venom_of_the_Red_Lotus
4,1,After All These Years,https://avatar.fandom.com//wiki/Transcript:After_All_These_Years
4,2,Korra Alone,https://avatar.fandom.com//wiki/Transcript:Korra_Alone
4,3,The Coronation,https://avatar.fandom.com//wiki/Transcript:The_Coronation
4,4,The Calling,https://avatar.fandom.com//wiki/Transcript:The_Calling
4,5,Enemy at the Gates,https://avatar.fandom.com//wiki/Transcript:Enemy_at_the_Gates
4,6,The Battle of Zaofu,https://avatar.fandom.com//wiki/Transcript:The_Battle_of_Zaofu
4,7,Reunion,https://avatar.fandom.com//wiki/Transcript:Reunion
4,8,Remembrances,https://avatar.fandom.com//wiki/Transcript:Remembrances
4,9,Beyond the Wilds,https://avatar.fandom.com//wiki/Transcript:Beyond_the_Wilds
4,10,Operation Beifong,https://avatar.fandom.com//wiki/Transcript:Operation_Beifong
4,11,Kuvira's Gambit,https://avatar.fandom.com//wiki/Transcript:Kuvira%27s_Gambit
4,12,Day of the Colossus,https://avatar.fandom.com//wiki/Transcript:Day_of_the_Colossus
4,13,The Last Stand,https://avatar.fandom.com//wiki/Transcript:The_Last_Stand
